"Order Status","Stan zamówienia",module,Dotdigitalgroup_Email
"Automation Program","Program automatyzacji",module,Dotdigitalgroup_Email
"Add New Enrolment","Dodaj nową rejestrację",module,Dotdigitalgroup_Email
"Add New Attribute","Dodaj cechę",module,Dotdigitalgroup_Email
Attribute,Cecha,module,Dotdigitalgroup_Email
"Data Field","Pole danych",module,Dotdigitalgroup_Email
Disconnect,"Rozłączyć się",module,Dotdigitalgroup_Email
Connect,Połączyć,module,Dotdigitalgroup_Email
"Add New Condition","Dodaj nowy warunek",module,Dotdigitalgroup_Email
Condition,Warunek,module,Dotdigitalgroup_Email
Value,Wartość,module,Dotdigitalgroup_Email
Dashboard,Panel,module,Dotdigitalgroup_Email
"Run Contact Sync","Uruchom synchronizację kontaktów",module,Dotdigitalgroup_Email
"Run Importer Sync","Uruchom aplikację Importer Sync",module,Dotdigitalgroup_Email
"dotmailer Configuration","Konfiguracja dotmailer",module,Dotdigitalgroup_Email
"v. %1","w. %1",module,Dotdigitalgroup_Email
"ver. %1","wer. %1",module,Dotdigitalgroup_Email
"Log Viewer","Przeglądarka logów",module,Dotdigitalgroup_Email
"Edit Rule %1","Edytuj regułę %1",module,Dotdigitalgroup_Email
"New Rule","Nowa reguła",module,Dotdigitalgroup_Email
Conditions,Warunki,module,Dotdigitalgroup_Email
"Exclusion Rule Conditions","Warunki wykluczonych z reguły",module,Dotdigitalgroup_Email
"Conditions Combination Match","Warunki pasujących kombinacji",module,Dotdigitalgroup_Email
ALL,WSZYSTKIE,module,Dotdigitalgroup_Email
ANY,DOWOLNY,module,Dotdigitalgroup_Email
"Rule Information","Informacje o regule",module,Dotdigitalgroup_Email
"Rule Name","Nazwa reguły",module,Dotdigitalgroup_Email
"Rule Type","Rodzaj reguły",module,Dotdigitalgroup_Email
Status,Stan,module,Dotdigitalgroup_Email
Active,Aktywny,module,Dotdigitalgroup_Email
Inactive,Nieaktywny,module,Dotdigitalgroup_Email
Websites,Witryny,module,Dotdigitalgroup_Email
"Exclusion Rule","Reguła wykluczenia",module,Dotdigitalgroup_Email
Edit,Edytuj,module,Dotdigitalgroup_Email
Automation,Automatyzacja,module,Dotdigitalgroup_Email
"Use Standard","Użyj standardowych",module,Dotdigitalgroup_Email
Reports,Raporty,module,Dotdigitalgroup_Email
"Automation Report","Raport z automatyzacji",module,Dotdigitalgroup_Email
"A total of %1 record(s) have been deleted.","Usunięto %1 rekordów.",module,Dotdigitalgroup_Email
Campaign,Kampania,module,Dotdigitalgroup_Email
"Campaign ",Kampania,module,Dotdigitalgroup_Email
"Campaign Report","Raport z kampanii",module,Dotdigitalgroup_Email
Catalog,Katalog,module,Dotdigitalgroup_Email
"Catalog ",Katalog,module,Dotdigitalgroup_Email
"Catalog Report","Raport katalogowy",module,Dotdigitalgroup_Email
Contacts,Kontakty,module,Dotdigitalgroup_Email
"Contacts ",Kontakty,module,Dotdigitalgroup_Email
"Contact Report","Raport kontaktów",module,Dotdigitalgroup_Email
"Cron Tasks","Zadania Crona",module,Dotdigitalgroup_Email
Report,Raport,module,Dotdigitalgroup_Email
Cron,Cron,module,Dotdigitalgroup_Email
"Dashboard ",Panel,module,Dotdigitalgroup_Email
"Dotmailer Dashboard","Pulpit nawigacyjny Dotmailer",module,Dotdigitalgroup_Email
"Please select cron.","Wybierz crona.",module,Dotdigitalgroup_Email
"Total of %1 record(s) were deleted.","Usunięto %1 wpis(ów).",module,Dotdigitalgroup_Email
"Data field successfully created.","Pomyślnie utworzono pole danych.",module,Dotdigitalgroup_Email
"Import Report","Importuj raport",module,Dotdigitalgroup_Email
Importer,Importer,module,Dotdigitalgroup_Email
"Please select importer.","Wybierz importera.",module,Dotdigitalgroup_Email
"Total of %1 record(s) were reset.","Zresetowano ogółem %1 rekordów.",module,Dotdigitalgroup_Email
"Log Viewer ","Przeglądarka logów",module,Dotdigitalgroup_Email
"Dotmailer Log Viewer","Przeglądarka dziennika logów Dotmailer",module,Dotdigitalgroup_Email
Orders,Zamówienia,module,Dotdigitalgroup_Email
"Order Report","Raport zamówień",module,Dotdigitalgroup_Email
Reviews,Opinie,module,Dotdigitalgroup_Email
"Review Report","Rapoty z opinni",module,Dotdigitalgroup_Email
"The rule has been deleted.","Reguła została usunięta.",module,Dotdigitalgroup_Email
"An error occurred while deleting the rule. Please review the log and try again.","Wystąpił błąd podczas usuwania reguły. Przejrzyj dziennik logów i spróbuj ponownie.",module,Dotdigitalgroup_Email
"Unable to find a rule to delete.","Nie można znaleźć reguły do ​​usunięcia.",module,Dotdigitalgroup_Email
"Edit Rule","Edytuj regułę",module,Dotdigitalgroup_Email
